City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temperature,Wind Speed
141,Tocopilla,0,CL,1694956197,59,-22.092,-70.1979,68.22,5.35
142,Aripuanã,0,BR,1694956262,29,-9.1667,-60.6333,92.88,3.38
143,Taoudenni,8,ML,1694956262,13,22.6783,-3.9836,110.28,16.06
144,Puerto Ayora,71,EC,1694955985,94,-0.7393,-90.3518,74.55,5.01
145,Khandyga,100,RU,1694956262,96,62.6667,135.6,35.46,4.9
146,Talnakh,100,RU,1694955997,74,69.4865,88.3972,40.05,6.55
147,Sarangani,99,PH,1694956263,78,5.4033,125.4636,81.68,4.81
148,Rexburg,0,US,1694956054,81,43.826,-111.7897,44.82,3.44
149,Revda,82,RU,1694956018,63,56.801,59.9303,61.81,0.94
150,Glace Bay,100,CA,1694956263,91,46.1969,-59.957,62.22,19.57
151,Palapag,54,PH,1694956036,83,12.5458,125.1147,80.38,4.29
152,Tiksi,100,RU,1694955880,90,71.6872,128.8694,31.82,8.63
153,Dakhla,2,EH,1694955778,73,23.6848,-15.958,73.06,18.43
154,Bamboo Flat,100,IN,1694956009,90,11.7,92.7167,78.69,17.58
155,Namsos,75,NO,1694956263,62,64.4662,11.4957,53.65,0.0
156,Keflavik,75,IS,1694955945,66,64.0049,-22.5624,50.43,14.97
157,Katsuren-haebaru,75,JP,1694956263,100,26.3369,127.8719,79.18,4.61
158,Rémire-Montjoly,75,GF,1694956021,62,4.9167,-52.2667,87.84,9.22
159,Monrovia,100,LR,1694956264,79,6.3005,-10.7969,83.97,8.63
160,Bilibino,100,RU,1694955984,66,68.0546,166.4372,39.81,2.26
161,Rio Grande,42,BR,1694956021,77,-32.035,-52.0986,78.91,4.79
162,Gouré,54,NE,1694956264,28,13.9835,10.2704,97.27,0.6
163,Arraial do Cabo,0,BR,1694955992,73,-22.9661,-42.0278,78.66,16.11
164,Hithadhoo,6,MV,1694956034,78,-0.6,73.0833,82.69,15.68
165,South Sioux City,0,US,1694956264,91,42.4739,-96.4136,50.2,3.44
166,Lebu,7,CL,1694955987,75,-37.6167,-73.65,46.62,2.64
167,Christchurch,3,NZ,1694956035,42,-43.5333,172.6333,55.6,14.97
168,Le Beausset,100,FR,1694956264,64,43.1985,5.8016,84.65,14.0
169,Körfez,9,TR,1694956264,50,40.7767,29.7297,79.93,18.54
170,Altamont,20,US,1694956265,83,42.2068,-121.7372,47.98,0.0
171,San Francisco de la Paz,97,HN,1694956265,91,14.9,-86.2,78.51,0.58
172,College,100,US,1694956000,83,64.8569,-147.8028,47.44,0.0
173,Ambikāpur,99,IN,1694956265,82,23.1167,83.2,77.45,1.74
174,Atafu Village,5,TK,1694955990,78,-8.5421,-172.5159,83.79,15.79
175,Anadyr,0,RU,1694955986,93,64.75,177.4833,27.1,2.24
176,Minas de Marcona,97,PE,1694955983,75,-15.2119,-75.1103,60.08,5.86
177,Zhangatas,6,KZ,1694956265,24,43.5667,69.75,71.62,12.8
178,Ukhta,100,RU,1694956201,92,63.5671,53.6835,48.58,5.77
179,Salé,75,MA,1694956266,73,34.0389,-6.8166,74.64,8.05
180,La Santisima Trinidad,4,BO,1694956266,100,-14.8333,-64.9,85.98,9.22
181,Kudahuvadhoo,35,MV,1694956266,74,2.6708,72.8944,83.52,12.66
182,Xinpu,13,CN,1694956266,72,34.5997,119.1594,72.28,6.35
183,Afaahiti,33,PF,1694955992,88,-17.75,-149.2833,73.27,13.6
184,Hood River,0,US,1694956266,77,45.7054,-121.5215,65.37,11.01
185,Constanța,97,RO,1694955718,56,44.1833,28.65,72.7,13.53
186,Qaqortoq,0,GL,1694955988,45,60.7167,-46.0333,37.78,3.78
187,Cabo San Lucas,0,MX,1694956001,82,22.8909,-109.9124,80.76,4.61
188,Ta`ū,87,AS,1694956029,84,-14.2336,-169.5144,80.11,20.13
189,Petropavlovsk-Kamchatskiy,3,RU,1694955987,73,53.0452,158.6483,49.32,23.06
190,Cherkessk,100,RU,1694956267,54,44.2233,42.0578,62.29,4.68
191,Fort Morgan,0,US,1694956267,100,40.2503,-103.8,53.02,8.05
192,Nīlī,1,AF,1694956205,11,33.7218,66.1302,81.46,5.19
193,Broome,0,US,1694955999,88,42.2506,-75.833,56.68,5.75
194,Sorong,100,ID,1694955808,85,-0.8833,131.25,78.39,11.92
195,Berdigestyakh,100,RU,1694956021,70,62.0989,126.6992,34.56,4.16
196,Pizarro,100,CO,1694956267,87,4.9533,-77.366,79.03,5.39
197,El Calafate,16,AR,1694956192,72,-50.3408,-72.2768,30.2,3.69
198,Khārk,0,IR,1694956267,56,29.2614,50.3306,91.6,12.77
199,Tabou,99,CI,1694956267,78,4.423,-7.3528,81.0,10.89
200,Zalingei,51,SD,1694956011,27,12.9096,23.4741,91.08,0.94
201,Hadibu,29,YE,1694956005,64,12.65,54.0333,85.03,15.32
202,Dongola,6,SD,1694956268,10,19.1667,30.4833,104.74,11.61
203,Kangding,100,CN,1694955989,99,30.0513,101.9603,60.21,3.98
204,Tazovsky,100,RU,1694955990,62,67.4667,78.7,46.98,15.68
205,Belmonte,55,BR,1694956025,64,-15.8631,-38.8828,79.7,9.37
206,Flying Fish Cove,40,CX,1694956014,78,-10.4217,105.6791,74.88,12.66
207,Cascais,40,PT,1694956071,79,38.6979,-9.4215,72.55,24.0
208,Turpan,96,CN,1694956268,23,42.9333,89.1667,80.17,7.87
209,Kolokani,72,ML,1694956268,50,13.5728,-8.0339,89.76,2.19
210,Nizhniy Kuranakh,100,RU,1694956164,65,58.8353,125.4869,36.43,3.65
